BUILDING_ID,ADDRESS_POINT_ID,ADDRESS_REFERENCE,PERSONAL_NAME,ORGANISATION_NAME,DEPARTMENT,SUB_BUILDING_NAME,BUILDING_NAME,BUILDING_NUMBER,BUILDING_GROUP_NAME,THOROUGHFARE,SECONDARY_THOROUGHFARE,LOCALITY,SECONDARY_LOCALITY,PRINCIPAL_POST_TOWN,COUNTY,EIRCODE,ADDR_LINE_1,ADDR_LINE_2,ADDR_LINE_3,ADDR_LINE_4,ADDR_LINE_5,ADDR_LINE_6,ADDR_LINE_7,ADDR_LINE_8,ADDR_LINE_9,ADDR_LINE_10,SMALL_AREA_REF,LATITUDE,LONGITUDE
61514808,NULL,6151480800000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BALLAGH,NEWTOWNCASHEL,NULL,LONGFORD,N39VH04,BALLAGH,NEWTOWNCASHEL,CO. LONGFORD,N39VH04,NULL,NULL,NULL,NULL,NULL,NULL,137015002,53.5726472268191,-7.94498203745481
61514809,NULL,6151480900000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CARROW BEG,NEWTOWNCASHEL,NULL,LONGFORD,N39W3P3,CARROW BEG,NEWTOWNCASHEL,CO. LONGFORD,N39W3P3,NULL,NULL,NULL,NULL,NULL,NULL,137015002,53.5838658679019,-7.95099343305736
61514810,NULL,6151481000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ELFEET,NEWTOWNCASHEL,NULL,LONGFORD,N39V448,ELFEET,NEWTOWNCASHEL,CO. LONGFORD,N39V448,NULL,NULL,NULL,NULL,NULL,NULL,137015001,53.5868801663575,-7.96486504567968
61514819,NULL,6151481900000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ELFEET,NEWTOWNCASHEL,NULL,LONGFORD,N39PV29,ELFEET,NEWTOWNCASHEL,CO. LONGFORD,N39PV29,NULL,NULL,NULL,NULL,NULL,NULL,137015002,53.5819522894431,-7.96257142527653
61514833,NULL,6151483300000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,COLLUM,NEWTOWNCASHEL,NULL,LONGFORD,N39TN62,COLLUM,NEWTOWNCASHEL,CO. LONGFORD,N39TN62,NULL,NULL,NULL,NULL,NULL,NULL,137015002,53.567487246084,-7.96969594161585
61512512,NULL,6151251200000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CLONEE,KILLOE,NULL,LONGFORD,N39N673,CLONEE,KILLOE,CO. LONGFORD,N39N673,NULL,NULL,NULL,NULL,NULL,NULL,137017002,53.7628746416981,-7.73174393573567
61512516,NULL,6151251600000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CORNEDDAN,BALLINALEE,NULL,LONGFORD,N39RH60,CORNEDDAN,BALLINALEE,CO. LONGFORD,N39RH60,NULL,NULL,NULL,NULL,NULL,NULL,137002002,53.7978653815866,-7.72746387027886
61512521,NULL,6151252100000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CORNAFUNSHION,BALLINALEE,NULL,LONGFORD,N39P789,CORNAFUNSHION,BALLINALEE,CO. LONGFORD,N39P789,NULL,NULL,NULL,NULL,NULL,NULL,137039001,53.8125596171271,-7.69472006248532
61512547,NULL,6151254700000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CLONTUMPHER,BALLINALEE,NULL,LONGFORD,N39Y383,CLONTUMPHER,BALLINALEE,CO. LONGFORD,N39Y383,NULL,NULL,NULL,NULL,NULL,NULL,137002002,53.7836010048747,-7.70981593163167
61512589,NULL,6151258900000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AUGHAMORE,BALLINALEE,NULL,LONGFORD,N39RW66,AUGHAMORE,BALLINALEE,CO. LONGFORD,N39RW66,NULL,NULL,NULL,NULL,NULL,NULL,137006002,53.7572984812416,-7.6203476863467
61512608,NULL,6151260800000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CLONFIN,BALLINALEE,NULL,LONGFORD,N39HF51,CLONFIN,BALLINALEE,CO. LONGFORD,N39HF51,NULL,NULL,NULL,NULL,NULL,NULL,137012001,53.7647138472651,-7.58788951559435
61512610,NULL,6151261000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CLONFIN,BALLINALEE,NULL,LONGFORD,N39DP20,CLONFIN,BALLINALEE,CO. LONGFORD,N39DP20,NULL,NULL,NULL,NULL,NULL,NULL,137012001,53.7655646134801,-7.58735043428588
61512641,NULL,6151264100000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CASTLEBROCK,BALLINALEE,NULL,LONGFORD,N39YR68,CASTLEBROCK,BALLINALEE,CO. LONGFORD,N39YR68,NULL,NULL,NULL,NULL,NULL,NULL,137040001,53.7420604161093,-7.63730028058832
61512654,NULL,6151265400000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CASTLEBROCK,BALLINALEE,NULL,LONGFORD,N39K523,CASTLEBROCK,BALLINALEE,CO. LONGFORD,N39K523,NULL,NULL,NULL,NULL,NULL,NULL,137040001,53.7431111912247,-7.63384656994092
61509751,NULL,6150975100000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CLOONMACART,DRUMLISH,NULL,LONGFORD,N39Y009,CLOONMACART,DRUMLISH,CO. LONGFORD,N39Y009,NULL,NULL,NULL,NULL,NULL,NULL,137011002,53.8031522046786,-7.7596828326348
61509801,NULL,6150980100000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GORTEENGAR,LANESBOROUGH,NULL,LONGFORD,N39DD88,GORTEENGAR,LANESBOROUGH,CO. LONGFORD,N39DD88,NULL,NULL,NULL,NULL,NULL,NULL,137054006,53.6634238775596,-7.97283680754776
61509802,NULL,6150980200000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CARROWSTRAWLY,LANESBOROUGH,NULL,LONGFORD,N39XY90,CARROWSTRAWLY,LANESBOROUGH,CO. LONGFORD,N39XY90,NULL,NULL,NULL,NULL,NULL,NULL,137054001,53.6328606291817,-7.98663469284404
61509803,NULL,6150980300000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TURREEN,LANESBOROUGH,NULL,LONGFORD,N39E400,TURREEN,LANESBOROUGH,CO. LONGFORD,N39E400,NULL,NULL,NULL,NULL,NULL,NULL,137054001,53.634248829082,-7.95997373105201
61509805,NULL,6150980500000000,NULL,NULL,NULL,NULL,DERRYGOWNA HOUSE,NULL,NULL,NULL,NULL,DERRYGOWNA,LANESBOROUGH,NULL,LONGFORD,N39XN51,DERRYGOWNA HOUSE,DERRYGOWNA,LANESBOROUGH,CO. LONGFORD,N39XN51,NULL,NULL,NULL,NULL,NULL,137014001,53.6074703453939,-7.93101612345409
61509825,NULL,6150982500000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LETTERGEERAGH,DRUMLISH,NULL,LONGFORD,N39E0P8,LETTERGEERAGH,DRUMLISH,CO. LONGFORD,N39E0P8,NULL,NULL,NULL,NULL,NULL,NULL,137008001,53.8315117378508,-7.71113152771795
61509826,NULL,6150982600000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BROCKLAGH,DRUMLISH,NULL,LONGFORD,N39XH39,BROCKLAGH,DRUMLISH,CO. LONGFORD,N39XH39,NULL,NULL,NULL,NULL,NULL,NULL,137039001,53.8344997,-7.72608679
61509833,NULL,6150983300000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FARDRUMMAN,BALLINAMUCK,NULL,LONGFORD,N39Y765,FARDRUMMAN,BALLINAMUCK,CO. LONGFORD,N39Y765,NULL,NULL,NULL,NULL,NULL,NULL,137008001,53.8645181743637,-7.73224470985856
